key_point_id,evidence_id,evidence,topic,source,argument,stance,label
kp_0_0,evi_0_6,"Rotashield, a vaccine for rotavirus (RV), was pulled from the market by the manufacturer nine months after it was introduced after it was discovered that the vaccine might have contributed to higher instances of intussusception (bowel obstruction).",Routine child vaccinations should be mandatory,https://vaccines.procon.org/,"Routine child vaccinations, or their side effects, are dangerous",-1.0,1.0
kp_1_0,evi_1_7,"Lack of enforcement of the European Union’s data privacy law, the General Data Protection Regulation, or G.D.P.R., has also cast a shadow over the new laws.",Social media platforms should be regulated by the government,https://www.nytimes.com/2022/04/22/technology/european-union-social-media-law.html,Social media regulation is not effective,-1.0,1.0
kp_2_0,evi_2_13,"In 2007, 8.1 million children under 18 years old were without health insurance. Children in poverty and Hispanic children were more likely to be uninsured.",The USA is a good country to live in,https://inequality.stanford.edu/publications/20-facts-about-us-inequality-everyone-should-know,The US has unfair health and education policies,-1.0,1.0
kp_1_1,evi_1_13,"Most also feel they have little or no control over how these entities use their personal information, according to a new survey of U.S. adults by Pew Research Center that explores how Americans feel about the state of privacy in the nation.",Social media platforms should be regulated by the government,https://www.pewresearch.org/internet/2019/11/15/americans-and-privacy-concerned-confused-and-feeling-lack-of-control-over-their-personal-information/,Social media regulation harms privacy,-1.0,1.0
kp_0_1,evi_0_12,"Compulsory vaccination is an interference with the human right of bodily integrity, which is a part of the right to private life enshrined in the Universal Declaration of Human Rights as well as in the European Convention on Human Rights.",Routine child vaccinations should be mandatory,https://theconversation.com/compulsory-vaccination-what-does-human-rights-law-say-167735,Mandatory vaccination contradicts basic rights,-1.0,1.0
kp_1_2,evi_1_18,"Reuters reported last year that Facebook had committed to restrict significantly more Vietnamese content after Vietnam passed a cybersecurity law in 2018, and Amnesty International documented some of the impact on activists and journalists. CPJ noted that the law’s vague prohibitions on posts that would offend leaders, distort history, or cause confusion were a clear threat to press freedom.",Social media platforms should be regulated by the government,https://cpj.org/2022/01/social-media-regulation-affect-press/,Social media regulation harm freedom of speech and other democratic rights,-1.0,1.0
kp_0_3,evi_0_19,Mayo Clinic states that natural infection 'often provides more complete immunity than a series of vaccinations.',Routine child vaccinations should be mandatory,https://vaccines.procon.org/,Routine child vaccinations are not necessary to keep children healthy,-1.0,1.0
kp_0_4,evi_0_27,"After introduction of the pneumococcal conjugate vaccine in 2000, several studies described a decrease in invasive pneumococcal disease in the United States. One year after its introduction, a group of investigators found a 69% drop in the rate of invasive disease in those of less than two years of age.",Routine child vaccinations should be mandatory,https://en.wikipedia.org/wiki/Pneumococcal_conjugate_vaccine,Routine child vaccinations are effective,1.0,1.0
kp_1_3,evi_1_21,"In the U.S., debate grew heated regarding government intervention in the market system, as intervention can cause disruptions, including extending a recession or depression, as the market has a tendency to adjust naturally equalising inadequacies.",Social media platforms should be regulated by the government,https://www.ehow.co.uk/info_8646461_advantages-disadvantages-government-intervention.html,The government should not intervene in the affairs of a private company,-1.0,1.0
kp_0_5,evi_0_34,The measles vaccine has decreased childhood deaths from measles by 74%.,Routine child vaccinations should be mandatory,https://vaccines.procon.org/,Child vaccination saves lives,1.0,1.0
kp_1_4,evi_1_29,"We have seen political advertisements targeting minority communities during the 2016 election in the United States and in the United Kingdom to suppress voting and political participation. Ultimately, dark advertisements polarise voters, lower trust in institutions, and degrade the quality of our democracy.",Social media platforms should be regulated by the government,https://www.carter-ruck.com/insight/fakes-news-authentic-views/responding-to-fake-news-through-regulation-and-automation/,Social media regulation can lead to political abuses by the government,-1.0,1.0
kp_2_1,evi_2_21,"In their study of polarization across nations, Thomas Carothers and Andrew O’Donohue argue that polarization runs particularly deep in the U.S. in part because American polarization is 'especially multifaceted.'",The USA is a good country to live in,https://www.pewresearch.org/fact-tank/2020/11/13/america-is-exceptional-in-the-nature-of-its-political-divide/,The US has a problematic/divisive political system,-1.0,1.0
kp_1_5,evi_1_35,"‘The government […] has a vital part to play and must act to put an end to the current ‘standards lottery’ approach to regulation. We concluded that self-regulation will no longer suffice. We must see an independent, statutory regulator established as soon as possible, one which has the full support of the Government to take strong and effective actions against companies who do not comply,‘' said Lamb in a statement. ‘'It is imperative that we take every step to protect young people online as we do offline.‘'",Social media platforms should be regulated by the government,https://eandt.theiet.org/content/articles/2019/01/regulate-social-media-companies-to-protect-children-urge-mps/,Social media regulation protects the younger audiences,1.0,1.0
kp_0_6,evi_0_39,"In 2011, 49 US states did not meet the 92-94% herd immunity threshold for pertussis (whooping cough), resulting in a 2012 outbreak that sickened 48,277 people and was the biggest outbreak since 1955.",Routine child vaccinations should be mandatory,https://vaccines.procon.org/,Routine child vaccinations are necessary to protect others,1.0,1.0
kp_1_6,evi_1_40,"Fake content was widespread during the presidential campaign. Facebook has estimated that 126 million of its platform users saw articles and posts promulgated by Russian sources. Twitter has found 2,752 accounts established by Russian groups that tweeted 1.4 million times in 2016. The widespread nature of these disinformation efforts led Columbia Law School Professor Tim Wu to ask: ’Did Twitter kill the First Amendment?‘",Social media platforms should be regulated by the government,https://www.brookings.edu/research/how-to-combat-fake-news-and-disinformation/,Social media regulation is necessary to deal with fake news,1.0,1.0
kp_1_7,evi_1_47,"Dame Melanie Dawes, Ofcom’s Chief Executive, said: ‘We’re really pleased to take on this new role, which will build on our experience as a media regulator. Being online brings huge benefits, but four in five people have concerns about it. That shows the need for sensible, balanced rules that protect users from serious harm, but also recognise the great things about online, including free expression. We’re gearing up for the task by acquiring new technology and data skills, and we’ll work with Parliament as it finalises the plans.’",Social media platforms should be regulated by the government,https://www.gov.uk/government/news/uk-leads-the-way-in-a-new-age-of-accountability-for-social-media,Social media regulation is beneficial to society at large,1.0,1.0
kp_0_7,evi_0_45,Pertussis vaccines are effective at preventing illness and are recommended for routine use by the World Health Organization and the United States Centers for Disease Control and Prevention. The vaccine saved an estimated half a million lives in 2002.,Routine child vaccinations should be mandatory,https://en.wikipedia.org/wiki/Whooping_cough,Routine child vaccinations should be mandatory to prevent virus/disease spreading,1.0,1.0
kp_1_8,evi_1_52,"For example, Pierre DeBois, founder of digital analytics consultancy Zimana, wrote in his list of 2021 social media trends that the rise of regulation is intensifying media scrutiny on the societal impact of social media, platform transparency and how users feel about all this. Put simply, he writes, enterprises need to pay closer attention to how social media platforms impact the real world by allowing, say, disinformation or hate speech to go unchecked, 'because the platform’s responses can and will influence how customers view your organization’s association with the platform.'",Social media platforms should be regulated by the government,https://www.frontier-enterprise.com/how-will-social-media-regulation-impact-enterprises/,Social media regulation can help to deal with negative content,1.0,1.0
kp_1_9,evi_1_59,The survey found that online social network accounts had been subject to unauthorized access in 60 million cases in 2011.,Social media platforms should be regulated by the government,https://en.wikipedia.org/wiki/Social_networking_service,Social media regulation is required to deal with malicious users,1.0,1.0
kp_0_8,evi_0_52,"Vaccine hesitancy has contributed to the resurgence of preventable disease. For example, in 2019, the number of measles cases increased by thirty percent worldwide and many cases occurred in countries that had nearly eliminated measles.",Routine child vaccinations should be mandatory,https://en.wikipedia.org/wiki/Vaccine_hesitancy,Children should not suffer from preventable diseases,1.0,1.0
kp_2_11,evi_2_91,"According to Caleb Silver with Investopedia, America controls the top spot in the ranking of Gross Domestic Product (GDP) or the sum value of goods and services in a country.",The USA is a good country to live in,https://observer.com/2020/01/us-economy-vs-other-countries-how-america-stacks-up/,The US has a good economy/high standard of living,1.0,1.0
kp_2_12,evi_2_102,"The advanced medical milieu that Americans enjoy has led to the world’s best cancer survival rates, a life expectancy for those over 80 that is actually greater than anywhere else, and lower mortality rates for heart attacks and strokes than in comparable countries.",The USA is a good country to live in,https://www.fairobserver.com/region/north_america/khaled-dajani-usa-health-care-america-best-world-quality-health-care-system-world-news-34879/,The US has a good health and education systems,1.0,1.0
kp_2_9,evi_2_79,"The wildlife is as diverse as the landscape. Mammals such as bison once roamed freely across the plains, but now live only in preserves. Black bears, grizzlies, and polar bears are the largest carnivores. There are over 20,000 flower species and most came from Europe. There are more than 400 areas which are protected and maintained by the National Park Service, and many other parks in each state.",The USA is a good country to live in,https://kids.nationalgeographic.com/geography/countries/article/united-states,The US has a great environment/nature,1.0,1.0
kp_2_6,evi_2_64,"Cultural factors may be as important as these well-known health risks, according to a study that appeared last year in the Journal of the American Medical Association (Vol. 295, No. 17, pages 2037-2045). Simply living in America may be as risky as a diet of doughnuts and beer, researchers suggest.",The USA is a good country to live in,https://www.apa.org/monitor/apr07/america,The US has a negative culture,-1.0,1.0
kp_2_8,evi_2_71,"A bill of rights is what the people are entitled to against every government on earth, general or particular, and what no just government should refuse.  - Thomas Jefferson, December 20, 1787",The USA is a good country to live in,https://www.aclu.org/other/bill-rights-brief-history,The US has freedoms/ democratic rights,1.0,1.0
